short_id,lon,lat,description
2037,,,"My first and best pride parade, made out with a girl in public for the first time and it was g o r g e o u s"
2658,,,"While living  away with friends this is where I started walking around publicly as trans, although I didn't understand people comments because my hebrew was terrible at the time, it just made it easier to ignore and become more confident"
2716,,,"First gay sex, it was awsome. "
6024,,,"At my first IGY seminar, I felt so fully enveloped by queer love that I knew I would be okay. I found my new family."
6026,,,"My first kiss with another girl. In the middle of the street, with people walking by. I was so nervous. I didn't know what to expect."
7319,,,"We crowd in all of us/
the ingathering of exiles/
Stomping the ground of this/
tiny space of wholeness/
we have carved ourselves/
with carresses, and kisses set to blaring synths/

In this city/ 
joy is light/ 
caught in the cave-like walls/ 
of a carved-out gay bar.

Forever my gay bar. Sharing a piece of joy with 15 lifelong friends and friends for the night."
9108,,,"After talking about brotherhood between Jews and Muslims, we had sex in park next to the King David Hotel. As soon as he came, he tried to rob me. But it seemed so half-hearted that I knew he was just trying to save face. I took his hand off my collar and walked away."
9748,,,Came out to my friend while hiking and camping here on a gap year. I was excited and terrified and almost tripped over some rocks.
9781,,,FREE PALESTINE
9782,,,I kissed a soldier here.
11606,,,I gave my first rimjob here. After that I fall for this guy.
12356,,,Someone on my youth trip told me I was the first bi person she ever met. Thats when I knew I didn't belong on this trip.
14257,,,"here, we kissed for the first time, and it was the best and sexiest kiss of my life. i hated this city, but when we left the bar hand-in-hand, i thought: here i am, with a perfect woman in the holy city of G-d and the people and the night is beautiful."
14438,,,“Transparent” helped me to understand myself
14509,,,"I was forced to come out to aggressive border control agents here. They denied my sexuality and were overtly homophobic. As a queer Arab woman, they saw me as a threat. The idea of Tel Aviv being a haven for LGBT+ people in the Middle East is a myth. I found greater acceptance in Palestine. Long live Palestine!"
14644,,,"Here in the waves of Hilton Beach, my friend and I met an extraordinary man who became a very close friend who enriched our lives and broadened our horizons of sexual experiences."
15375,,,"my brother took his own life here february 8, 2018. i will never know what he truly felt but he came out as gay in the note he left. i miss him more than words can explain.<3 יהודה, אני אוהב אותך"
15980,,,I'm not sure why but I sometimes think of that night we stayed up talking
16075,,,"The silliest New Years Eve, nothing like we wanted it to be, but I think I fell in love with everyone a little bit that night"
16105,,,"After a beautiful dinner, we stood together looking out to sea and he touched my hand. In that perfect, simple gesture, I knew what we had was special."
16334,,,"For a year, I lived here in silence and thought I could ignore this part of myself. I thought I could silence it. I was wrong. It was a great experience otherwise though"
16357,,,"I wanted to sit next to you on the bus and listen to music together. We were friends, then you cut me off. Still think about you. Hope you're doing okay"
